constituency,const_no,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,rounds completed,total rounds
PANSKURA PASCHIM,205,SINTU SENAPATI,Bharatiya Janata Party,SIRAJ KHAN,All India Trinamool Congress,32567,18/18,Result Declared,18,18
MOYNA,206,ASHOKE DINDA,Bharatiya Janata Party,CHANDAN MONDAL,All India Trinamool Congress,16241,17/17,Result Declared,17,17
NANDAKUMAR,207,KHANRA NIRMAL,Bharatiya Janata Party,SUKUMAR DE,All India Trinamool Congress,30603,15/15,Result Declared,15,15
MAHISADAL,208,SUBHAS CHANDRA PANJA,Bharatiya Janata Party,TILAK KUMAR CHAKRABORTY,All India Trinamool Congress,26238,22/22,Result Declared,22,22
HALDIA,209,PRADIP KUMAR BIJALI,Bharatiya Janata Party,TAPASI MONDAL,All India Trinamool Congress,49062,21/21,Result Declared,21,21
NANDIGRAM,210,ADHIKARI SUVENDU,Bharatiya Janata Party,PABITRA KAR,All India Trinamool Congress,9665,19/19,Result Declared,19,19
CHANDIPUR,211,PIJUSH KANTI DAS,Bharatiya Janata Party,UTTAM BARIK,All India Trinamool Congress,20270,13/13,Result Declared,13,13
PATASHPUR,212,TAPAN MAITY,Bharatiya Janata Party,PIJUS KANTI PANDA,All India Trinamool Congress,9051,18/18,Result Declared,18,18
KANTHI UTTAR,213,SUMITA SINHA,Bharatiya Janata Party,DEBASIS BHUNYA,All India Trinamool Congress,20055,26/26,Result Declared,26,26
BHAGABANPUR,214,SANTANU PRAMANIK,Bharatiya Janata Party,MANAB KUMAR PARUA,All India Trinamool Congress,20878,24/24,Result Declared,24,24
KHEJURI,215,SUBRATA PAIK,Bharatiya Janata Party,RABIN CHANDRA MANDAL,All India Trinamool Congress,32690,22/22,Result Declared,22,22
KANTHI DAKSHIN,216,ARUP KUMAR DAS,Bharatiya Janata Party,TARUN KUMAR JANA,All India Trinamool Congress,31472,26/26,Result Declared,26,26
RAMNAGAR,217,DR. CHANDRA SEKHAR MONDAL,Bharatiya Janata Party,AKHIL GIRI,All India Trinamool Congress,26939,26/26,Result Declared,26,26
EGRA,218,ADHIKARI DIBYENDU,Bharatiya Janata Party,TARUN KUMAR MAITY,All India Trinamool Congress,25692,18/18,Result Declared,18,18
DANTAN,219,AJIT KUMAR JANA,Bharatiya Janata Party,MANIK MAITI,All India Trinamool Congress,10376,19/19,Result Declared,19,19
NAYAGRAM,220,AMIYA KISKU,Bharatiya Janata Party,DULAL MURMU,All India Trinamool Congress,6424,21/21,Result Declared,21,21
GOPIBALLAVPUR,221,RAJESH MAHATA,Bharatiya Janata Party,AJIT MAHATA,All India Trinamool Congress,26675,25/25,Result Declared,25,25
JHARGRAM,222,LAKSHMI KANTA SAU,Bharatiya Janata Party,MONGAL SAREN,All India Trinamool Congress,38147,24/24,Result Declared,24,24
KESHIARY,223,BHADRA HEMRAM,Bharatiya Janata Party,RAMJIBAN MANDI,All India Trinamool Congress,15887,22/22,Result Declared,22,22
KHARAGPUR SADAR,224,DILIP GHOSH,Bharatiya Janata Party,PRADIP SARKAR,All India Trinamool Congress,30506,20/20,Result Declared,20,20
NARAYANGARH,225,GIRI RAMAPRASAD,Bharatiya Janata Party,PRATIBHA MAITI,All India Trinamool Congress,20367,22/22,Result Declared,22,22
SABANG,226,AMAL KUMAR PANDA,Bharatiya Janata Party,MANAS RANJAN BHUNIA,All India Trinamool Congress,11136,27/27,Result Declared,27,27
PINGLA,227,SWAGATA MANNA,Bharatiya Janata Party,AJIT MAITY,All India Trinamool Congress,18480,24/24,Result Declared,24,24
KHARAGPUR,228,DINEN ROY,All India Trinamool Congress,TAPAN BHUYA,Bharatiya Janata Party,2872,19/19,Result Declared,19,19
DEBRA,229,SUBHASHIS OM,Bharatiya Janata Party,RAJIB BANERJEE,All India Trinamool Congress,28801,18/18,Result Declared,18,18
DASPUR,230,TAPAN KUMAR DUTTA,Bharatiya Janata Party,ASHIS HUDAIT,All India Trinamool Congress,32134,20/20,Result Declared,20,20
GHATAL,231,SITAL KAPAT,Bharatiya Janata Party,SHYAMALI SARDAR,All India Trinamool Congress,37657,19/19,Result Declared,19,19
